Date;Value;P&L;Investments
2010-06-01;2000;0;2000
2010-06-02;1996.03;-3.97408;2000
2010-06-03;2031.53;31.5274;2000
2010-06-04;2032.85;32.8522;2000
2010-06-07;2002.91;2.91431;2000
2010-06-08;1989.93;-10.0675;2000
2010-06-09;1981.98;-18.0156;2000
2010-06-10;2012.45;12.452;2000
2010-06-11;2019.87;19.8702;2000
2010-06-14;2023.84;23.8443;2000
2010-06-15;2022.52;22.5195;2000
2010-06-16;2029.67;29.6729;2000
2010-06-17;2019.34;19.3404;2000
2010-06-18;2029.41;29.4079;2000
2010-06-21;2045.83;45.834;2000
2010-06-22;2037.62;37.621;2000
2010-06-23;2007.95;7.94815;2000
2010-06-24;1984.9;-15.1013;2000
2010-06-25;1961.85;-38.1506;2000
2010-06-28;1966.35;-33.6468;2000
2010-06-29;1936.15;-63.8494;2000
2010-06-30;1913.37;-86.6339;2000
2010-07-01;3839.45;-160.551;4000
2010-07-02;3860.46;-139.537;4000
2010-07-05;3807.93;-192.072;4000
2010-07-06;3846.09;-153.915;4000
2010-07-07;3876.5;-123.5;4000
2010-07-08;3938.99;-61.0116;4000
2010-07-09;3996.5;-3.50044;4000
2010-07-12;4009.22;9.21865;4000
2010-07-13;4046.82;46.8224;4000
2010-07-14;4076.13;76.1311;4000
2010-07-15;3983.23;-16.7722;4000
2010-07-16;3970.51;-29.4909;4000
2010-07-19;3868.2;-131.795;4000
2010-07-20;3844.98;-155.021;4000
2010-07-21;3988.76;-11.2423;4000
2010-07-22;3981.57;-18.4311;4000
2010-07-23;3998.71;-1.2884;4000
2010-07-26;4027.47;27.4676;4000
2010-07-27;4027.47;27.4676;4000
2010-07-28;4005.9;5.90081;4000
2010-07-29;3958.9;-41.1042;4000
2010-07-30;3958.9;-41.1042;4000
2010-08-02;6049.59;49.5875;6000
2010-08-03;5970.28;-29.7194;6000
2010-08-04;6001.67;1.67312;6000
2010-08-05;5963.67;-36.3278;6000
2010-08-06;5867.02;-132.983;6000
2010-08-09;5974.41;-25.5886;6000
2010-08-10;5988.46;-11.5449;6000
2010-08-11;5955.41;-44.5893;6000
2010-08-12;5897.58;-102.417;6000
2010-08-13;5958.72;-41.2848;6000
2010-08-16;5905.02;-94.9813;6000
2010-08-17;5973.59;-26.4149;6000
2010-08-18;5945.5;-54.5022;6000
2010-08-19;5880.24;-119.765;6000
2010-08-20;5918.24;-81.7639;6000
2010-08-23;5938.89;-61.1113;6000
2010-08-24;5835.63;-164.375;6000
2010-08-25;5782.75;-217.246;6000
2010-08-26;5852.15;-147.853;6000
2010-08-27;5787.71;-212.289;6000
2010-08-30;5873.63;-126.374;6000
2010-08-31;5831.49;-168.506;6000
2010-09-01;7926.5;-73.503;8000
2010-09-02;7954.12;-45.8807;8000
2010-09-03;8028.15;28.1477;8000
2010-09-06;8086.71;86.7069;8000
2010-09-07;8112.12;112.119;8000
2010-09-08;8135.32;135.322;8000
2010-09-09;8212.66;212.665;8000
2010-09-10;8192.78;192.776;8000
2010-09-13;8220.4;220.399;8000
2010-09-14;8149.69;149.686;8000
2010-09-15;8104.38;104.385;8000
2010-09-16;8064.61;64.6085;8000
2010-09-17;8125.38;125.378;8000
2010-09-20;8183.94;183.937;8000
2010-09-21;8213.77;213.769;8000
2010-09-22;7964.06;-35.9362;8000
2010-09-23;8007.15;7.15451;8000
2010-09-24;8000.53;0.525431;8000
2010-09-27;7990.58;-9.41904;8000
2010-09-28;7923.18;-76.8175;8000
2010-09-29;7904.4;-95.6005;8000
2010-09-30;7943.07;-56.9294;8000
2010-10-01;9885.62;-114.383;10000
2010-10-04;9889.77;-110.228;10000
2010-10-05;9837.14;-162.864;10000
2010-10-06;9842.68;-157.323;10000
2010-10-07;9819.13;-180.87;10000
2010-10-08;9864.84;-135.161;10000
2010-10-11;9880.08;-119.924;10000
2010-10-12;9928.55;-71.445;10000
2010-10-13;9920.24;-79.7554;10000
2010-10-14;9927.17;-72.8304;10000
2010-10-15;9856.53;-143.471;10000
2010-10-18;9978.42;-21.5805;10000
2010-10-19;10007.5;7.50689;10000
2010-10-20;9952.1;-47.8982;10000
2010-10-21;10007.5;7.50689;10000
2010-10-22;10035.2;35.2089;10000
2010-10-25;10053.2;53.2162;10000
2010-10-26;10065.7;65.6818;10000
2010-10-27;10072.6;72.6078;10000
2010-10-28;10042.1;42.1349;10000
2010-10-29;10046.3;46.2901;10000
2010-11-01;12116.9;116.932;12000
2010-11-02;12020.7;20.7126;12000
2010-11-03;11997.5;-2.51255;12000
2010-11-04;12029;29.0078;12000
2010-11-05;12340.9;340.889;12000
2010-11-08;12425.5;425.495;12000
2010-11-09;12458.7;458.674;12000
2010-11-10;12476.9;476.922;12000
2010-11-11;12508.4;508.443;12000
2010-11-12;12410.6;410.564;12000
2010-11-15;12526.7;526.691;12000
2010-11-16;12355.8;355.82;12000
2010-11-17;12355.8;355.82;12000
2010-11-18;12415.5;415.541;12000
2010-11-19;12360.8;360.797;12000
2010-11-22;12423.8;423.836;12000
2010-11-23;12495.2;495.171;12000
2010-11-24;12586.4;586.413;12000
2010-11-25;12742.4;742.353;12000
2010-11-26;12763.9;763.92;12000
2010-11-29;12772.2;772.214;12000
2010-11-30;12843.5;843.549;12000
2010-12-01;14991.2;991.195;14000
2010-12-02;15090.7;1090.74;14000
2010-12-03;14914.6;914.622;14000
2010-12-06;14985.5;985.452;14000
2010-12-07;15109.9;1109.88;14000
2010-12-08;15129;1129.03;14000
2010-12-09;15276.4;1276.43;14000
2010-12-10;15314.7;1314.72;14000
2010-12-13;15224.7;1224.74;14000
2010-12-14;15230.5;1230.49;14000
2010-12-15;15197.9;1197.94;14000
2010-12-16;15289.8;1289.83;14000
2010-12-17;15473.6;1473.61;14000
2010-12-20;15508.1;1508.07;14000
2010-12-21;15613.4;1613.36;14000
2010-12-22;15674.6;1674.61;14000
2010-12-23;15734;1733.96;14000
2010-12-24;15734;1733.96;14000
2010-12-27;15628.7;1628.67;14000
2010-12-28;15575.1;1575.07;14000
2010-12-29;15724.4;1724.39;14000
2010-12-30;15521.5;1521.47;14000
2010-12-31;15521.5;1521.47;14000
2011-01-03;17644;1643.99;16000
2011-01-04;17572.7;1572.74;16000
2011-01-05;17872.8;1872.85;16000
2011-01-06;18034.8;2034.78;16000
2011-01-07;18119;2118.98;16000
2011-01-10;18095.2;2095.23;16000
2011-01-11;18188.1;2188.07;16000
2011-01-12;18218.3;2218.3;16000
2011-01-13;18041.3;2041.26;16000
2011-01-14;17708.8;1708.76;16000
2011-01-17;17708.8;1708.76;16000
2011-01-18;17875;1875.01;16000
2011-01-19;17674.2;1674.21;16000
2011-01-20;17581.4;1581.37;16000
2011-01-21;17486.4;1486.37;16000
2011-01-24;17486.4;1486.37;16000
2011-01-25;17492.8;1492.85;16000
2011-01-26;17497.2;1497.17;16000
2011-01-27;17464.8;1464.78;16000
2011-01-28;17466.9;1466.94;16000
2011-01-31;17257.5;1257.51;16000
2011-02-01;19449.7;1449.67;18000
2011-02-02;19483.4;1483.36;18000
2011-02-03;19625.3;1625.35;18000
2011-02-04;19885.3;1885.25;18000
2011-02-07;19974.3;1974.29;18000
2011-02-08;19890.1;1890.07;18000
2011-02-09;19969.5;1969.48;18000
2011-02-10;19861.2;1861.19;18000
2011-02-11;20176.4;2176.44;18000
2011-02-14;20381;2381;18000
2011-02-15;20275.1;2275.11;18000
2011-02-16;20316;2316.02;18000
2011-02-17;20255.9;2255.86;18000
2011-02-18;20320.8;2320.84;18000
2011-02-21;20193.3;2193.29;18000
2011-02-22;20053.7;2053.71;18000
2011-02-23;19841.9;1841.93;18000
2011-02-24;19476.1;1476.14;18000
2011-02-25;19796.2;1796.21;18000
2011-02-28;19659;1659.04;18000
2011-03-01;21767.3;1767.33;20000
2011-03-02;21457.3;1457.28;20000
2011-03-03;21563.3;1563.28;20000
2011-03-04;21534.1;1534.13;20000
2011-03-07;21438.7;1438.73;20000
2011-03-08;21478.5;1478.48;20000
2011-03-09;21457.3;1457.28;20000
2011-03-10;21409.6;1409.58;20000
2011-03-11;21290.3;1290.33;20000
2011-03-14;21152.5;1152.53;20000
2011-03-15;20715.3;715.27;20000
2011-03-16;20625.2;625.17;20000
2011-03-17;20654.3;654.321;20000
2011-03-18;20691.4;691.421;20000
2011-03-21;20866.3;866.322;20000
2011-03-22;20765.6;765.621;20000
2011-03-23;20763;762.971;20000
2011-03-24;21004.1;1004.12;20000
2011-03-25;21118.1;1118.08;20000
2011-03-28;21303.6;1303.58;20000
2011-03-29;21112.8;1112.77;20000
2011-03-30;21433.4;1433.43;20000
2011-03-31;21237.3;1237.33;20000
2011-04-01;23489.1;1489.08;22000
2011-04-04;23335.6;1335.55;22000
2011-04-05;23364.5;1364.52;22000
2011-04-06;23129.9;1129.89;22000
2011-04-07;23202.3;1202.31;22000
2011-04-08;23011.1;1011.13;22000
2011-04-11;22877.9;877.883;22000
2011-04-12;22660.6;660.633;22000
2011-04-13;22651.9;651.941;22000
2011-04-14;22521.6;521.592;22000
2011-04-15;22579.5;579.524;22000
2011-04-18;22666.4;666.425;22000
2011-04-19;22733;733.05;22000
2011-04-20;22776.5;776.498;22000
2011-04-21;22825.7;825.743;22000
2011-04-26;22796.8;796.774;22000
2011-04-27;22872.1;872.088;22000
2011-04-28;22872.1;872.088;22000
2011-04-29;22738.8;738.842;22000
2011-05-02;24976.4;976.369;24000
2011-05-03;24803.2;803.183;24000
2011-05-04;24633.1;633.149;24000
2011-05-05;24743.4;743.357;24000
2011-05-06;25168.4;1168.45;24000
2011-05-09;25266.1;1266.06;24000
2011-05-10;25483.3;1483.33;24000
2011-05-11;25555.8;1555.75;24000
2011-05-12;25448.7;1448.69;24000
2011-05-13;25527.4;1527.41;24000
2011-05-16;25514.8;1514.81;24000
2011-05-17;25429.8;1429.8;24000
2011-05-18;25329;1329.04;24000
2011-05-19;25524.3;1524.26;24000
2011-05-20;25451.8;1451.84;24000
2011-05-23;25470.7;1470.73;24000
2011-05-24;25360.5;1360.52;24000
2011-05-25;25291.2;1291.25;24000
2011-05-26;25222;1221.98;24000
2011-05-27;25294.4;1294.4;24000
2011-05-30;25247.2;1247.17;24000
2011-05-31;25262.9;1262.91;24000
2011-06-01;27004.7;1004.71;26000
2011-06-02;26654.4;654.438;26000
2011-06-03;26654.4;654.438;26000
2011-06-06;26008.3;8.31317;26000
2011-06-07;25814.5;-185.525;26000
2011-06-08;25739.7;-260.34;26000
2011-06-09;26032.1;32.1177;26000
2011-06-10;25998.1;-1.89101;26000
2011-06-13;25933.5;-66.5019;26000
2011-06-14;25984.5;-15.4914;26000
2011-06-15;26198.7;198.75;26000
2011-06-16;26324.6;324.575;26000
2011-06-17;26147.7;147.739;26000
2011-06-20;26045.7;45.7181;26000
2011-06-21;26198.7;198.75;26000
2011-06-22;26324.6;324.575;26000
2011-06-23;26222.6;222.554;26000
2011-06-24;26481;481.006;26000
2011-06-27;26263.4;263.363;26000
2011-06-28;26283.8;283.766;26000
2011-06-29;26569.4;569.421;26000
2011-06-30;26651;651.039;26000
2011-07-01;28688.4;688.447;28000
2011-07-04;28980.9;980.886;28000
2011-07-05;29097.9;1097.86;28000
2011-07-06;29412.2;1412.24;28000
2011-07-07;29752.2;1752.2;28000
2011-07-08;29905.7;1905.73;28000
2011-07-11;29814.3;1814.34;28000
2011-07-12;29646.2;1646.19;28000
2011-07-13;29595;1595.01;28000
2011-07-14;29288;1287.95;28000
2011-07-15;29350.1;1350.09;28000
2011-07-18;29350.1;1350.09;28000
2011-07-19;29269.7;1269.67;28000
2011-07-20;29459.8;1459.76;28000
2011-07-21;29423.2;1423.2;28000
2011-07-22;29525.6;1525.56;28000
2011-07-25;29251.4;1251.39;28000
2011-07-26;29123.5;1123.45;28000
2011-07-27;28915.1;915.087;28000
2011-07-28;28831;831.012;28000
2011-07-29;28330.2;330.206;28000
2011-08-01;30600.7;600.713;30000
2011-08-02;30225.2;225.244;30000
2011-08-03;29478.2;-521.781;30000
2011-08-04;29407.8;-592.182;30000
2011-08-05;28848.5;-1151.47;30000
2011-08-08;27726;-2273.97;30000
2011-08-09;26740.4;-3259.57;30000
2011-08-10;27186.3;-2813.71;30000
2011-08-11;26951.6;-3048.37;30000
2011-08-12;28105.4;-1894.59;30000
2011-08-15;28105.4;-1894.59;30000
2011-08-16;27851.2;-2148.81;30000
2011-08-17;28164.1;-1835.92;30000
2011-08-18;27022;-2977.98;30000
2011-08-19;26689.6;-3310.42;30000
2011-08-22;26846;-3153.98;30000
2011-08-23;26447.1;-3552.91;30000
2011-08-24;27327.1;-2672.9;30000
2011-08-25;27530.5;-2469.53;30000
2011-08-26;26951.6;-3048.37;30000
2011-08-29;27612.6;-2387.39;30000
2011-08-30;28171.9;-1828.1;30000
2011-08-31;28508.3;-1491.74;30000
2011-09-01;30793.8;-1206.23;32000
2011-09-02;30191.4;-1808.55;32000
2011-09-05;29359.1;-2640.93;32000
2011-09-06;29334;-2666.03;32000
2011-09-07;30187.3;-1812.74;32000
2011-09-08;30739.4;-1260.61;32000
2011-09-09;30881.6;-1118.39;32000
2011-09-12;30241.6;-1758.36;32000
2011-09-13;30764.5;-1235.51;32000
2011-09-14;31053.1;-946.898;32000
2011-09-15;31228.8;-771.218;32000
2011-09-16;31550.9;-449.144;32000
2011-09-19;31538.3;-461.692;32000
2011-09-20;31994.2;-5.76807;32000
2011-09-21;31772.5;-227.456;32000
2011-09-22;30262.6;-1737.45;32000
2011-09-23;30204;-1796.01;32000
2011-09-26;30517.7;-1482.3;32000
2011-09-27;31492.3;-507.703;32000
2011-09-28;31182.8;-817.229;32000
2011-09-29;31015.5;-984.542;32000
2011-09-30;30877.4;-1122.57;32000
2011-10-03;32618.1;-1381.91;34000
2011-10-04;31633.3;-2366.69;34000
2011-10-05;32377.5;-1622.53;34000
2011-10-06;33130.5;-869.466;34000
2011-10-07;33571.7;-428.321;34000
2011-10-10;33540.5;-459.513;34000
2011-10-11;33696.5;-303.549;34000
2011-10-12;33932.6;-67.3805;34000
2011-10-13;33651.9;-348.112;34000
2011-10-14;33981.6;-18.364;34000
2011-10-17;34101.9;101.947;34000
2011-10-18;33758.8;-241.165;34000
2011-10-19;34146.5;146.507;34000
2011-10-20;34061.8;61.8446;34000
2011-10-21;34222.3;222.262;34000
