Date;Value;P&L;Investments
2010-06-01;84200;0;84200
2010-06-02;83656.8;-543.231;84200
2010-06-03;85053.6;853.638;84200
2010-06-04;83424;-776.04;84200
2010-06-07;82104.7;-2095.3;84200
2010-06-08;81328.7;-2871.34;84200
2010-06-09;83191.2;-1008.85;84200
2010-06-10;83424;-776.04;84200
2010-06-11;83812;-388.02;84200
2010-06-14;85364.1;1164.05;84200
2010-06-15;85131.2;931.243;84200
2010-06-16;86140.1;1940.09;84200
2010-06-17;85984.9;1784.88;84200
2010-06-18;86528.1;2328.1;84200
2010-06-21;87226.5;3026.54;84200
2010-06-22;86217.7;2017.69;84200
2010-06-23;84277.6;77.5981;84200
2010-06-24;83268.7;-931.251;84200
2010-06-25;82880.7;-1319.26;84200
2010-06-28;83656.8;-543.231;84200
2010-06-29;81018.2;-3181.76;84200
2010-06-30;80940.6;-3259.36;84200
2010-07-01;80845.3;-5354.66;86200
2010-07-02;81084.1;-5115.94;86200
2010-07-05;87529.4;1329.41;86200
2010-07-06;82357.2;-3842.78;86200
2010-07-07;82914.2;-3285.78;86200
2010-07-08;84346.5;-1853.48;86200
2010-07-09;85062.7;-1137.33;86200
2010-07-12;85301.4;-898.612;86200
2010-07-13;86972.4;772.404;86200
2010-07-14;87131.5;931.544;86200
2010-07-15;86176.7;-23.3211;86200
2010-07-16;85301.4;-898.612;86200
2010-07-19;84585.2;-1614.76;86200
2010-07-20;84664.8;-1535.19;86200
2010-07-21;85619.7;-580.324;86200
2010-07-22;86972.4;772.404;86200
2010-07-23;86892.8;692.83;86200
2010-07-26;88245.6;2045.56;86200
2010-07-27;88325.1;2125.13;86200
2010-07-28;88086.4;1886.41;86200
2010-07-29;87131.5;931.544;86200
2010-07-30;87290.7;1090.69;86200
2010-08-02;91359.6;3159.56;88200
2010-08-03;91278.2;3078.22;88200
2010-08-04;91278.2;3078.22;88200
2010-08-05;91115.5;2915.51;88200
2010-08-06;90139.3;1939.27;88200
2010-08-09;91522.3;3322.27;88200
2010-08-10;90790.1;2590.09;88200
2010-08-11;88837.6;637.621;88200
2010-08-12;88268.2;68.1512;88200
2010-08-13;87780;-419.971;88200
2010-08-16;87780;-419.971;88200
2010-08-17;89163;963.033;88200
2010-08-18;88756.3;556.266;88200
2010-08-19;87454.6;-745.383;88200
2010-08-20;86722.4;-1477.56;88200
2010-08-23;87047.8;-1152.15;88200
2010-08-24;85908.9;-2291.09;88200
2010-08-25;84851.3;-3348.68;88200
2010-08-26;85502.1;-2697.86;88200
2010-08-27;85746.2;-2453.8;88200
2010-08-31;85339.4;-2860.57;88200
2010-09-01;89454.6;-745.383;90200
2010-09-02;89870.7;-329.314;90200
2010-09-03;90952.5;752.464;90200
2010-09-06;91618.2;1418.17;90200
2010-09-07;90786;586.033;90200
2010-09-08;91368.5;1168.53;90200
2010-09-09;92034.2;1834.24;90200
2010-09-10;91951;1751.03;90200
2010-09-13;93032.8;2832.8;90200
2010-09-14;93282.4;3082.44;90200
2010-09-15;92949.6;2749.59;90200
2010-09-16;92949.6;2749.59;90200
2010-09-17;93282.4;3082.44;90200
2010-09-20;94364.2;4164.22;90200
2010-09-21;94447.4;4247.44;90200
2010-09-22;94031.4;3831.37;90200
2010-09-23;94281;4081;90200
2010-09-24;95113.1;4913.14;90200
2010-09-27;95029.9;4829.93;90200
2010-09-28;95029.9;4829.93;90200
2010-09-29;95029.9;4829.93;90200
2010-09-30;94530.6;4330.64;90200
2010-10-01;96780.3;4580.29;92200
2010-10-04;96355.4;4155.44;92200
2010-10-05;97884.9;5684.89;92200
2010-10-06;98479.7;6279.68;92200
2010-10-07;98224.8;6024.77;92200
2010-10-08;98734.6;6534.58;92200
2010-10-11;98819.6;6619.56;92200
2010-10-12;98649.6;6449.61;92200
2010-10-13;100094;7894.1;92200
2010-10-14;99584.3;7384.28;92200
2010-10-15;99754.2;7554.22;92200
2010-10-18;99924.2;7724.16;92200
2010-10-19;99499.3;7299.31;92200
